group,total,CS,CB,CE,EE,MM
Group_G01.csv,1,1,0,0,0,0
Group_G02.csv,1,1,0,0,0,0
Group_G03.csv,1,1,0,0,0,0
Group_G04.csv,1,0,1,0,0,0
Group_G05.csv,1,0,1,0,0,0
Group_G06.csv,1,0,0,1,0,0
Group_G07.csv,1,0,0,1,0,0
Group_G08.csv,1,0,0,0,1,0
Group_G09.csv,1,0,0,0,1,0
Group_G10.csv,1,0,0,0,0,1
Group_G11.csv,1,0,0,0,0,1
Group_G12.csv,0,0,0,0,0,0
